arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms
1771215478956097783,1771215478956097783,1771215478956259783,0.000000,0.162000,0.162000
1771215479456224373,1771215479456224373,1771215479456390373,0.000000,0.166000,0.166000
1771215479956017262,1771215479956017262,1771215479956181262,0.000000,0.164000,0.164000
1771215480455384687,1771215480455384687,1771215480455480687,0.000000,0.096000,0.096000
1771215480955536893,1771215480955536893,1771215480955663893,0.000000,0.127000,0.127000
1771215481455460923,1771215481455460923,1771215481455631923,0.000000,0.171000,0.171000
1771215481955762366,1771215481955762366,1771215481955871366,0.000000,0.109000,0.109000
1771215482455424274,1771215482455424274,1771215482455592274,0.000000,0.168000,0.168000
1771215482955627966,1771215482955627966,1771215482955824966,0.000000,0.197000,0.197000
1771215483456607134,1771215483456607134,1771215483456752134,0.000000,0.145000,0.145000
1771215483955440221,1771215483955440221,1771215483955545221,0.000000,0.105000,0.105000
1771215484455493333,1771215484455493333,1771215484455643333,0.000000,0.150000,0.150000
1771215484957395661,1771215484957395661,1771215484957494661,0.000000,0.099000,0.099000
1771215485455374697,1771215485455374697,1771215485455522697,0.000000,0.148000,0.148000
1771215485955091880,1771215485955091880,1771215485955274880,0.000000,0.183000,0.183000
1771215486455498015,1771215486455498015,1771215486455648015,0.000000,0.150000,0.150000
1771215486955802481,1771215486955802481,1771215486955907481,0.000000,0.105000,0.105000
1771215487455239570,1771215487455239570,1771215487455382570,0.000000,0.143000,0.143000
1771215487955158614,1771215487955158614,1771215487955249614,0.000000,0.091000,0.091000
1771215488455251746,1771215488455251746,1771215488455352746,0.000000,0.101000,0.101000
1771215488955126356,1771215488955126356,1771215488955308356,0.000000,0.182000,0.182000
1771215489455317829,1771215489455317829,1771215489455358829,0.000000,0.041000,0.041000
1771215489955330867,1771215489955330867,1771215489955577867,0.000000,0.247000,0.247000
1771215490455504083,1771215490455504083,1771215490455640083,0.000000,0.136000,0.136000
1771215490959322597,1771215490959322597,1771215490959458597,0.000000,0.136000,0.136000
1771215491458115436,1771215491458115436,1771215491458163436,0.000000,0.048000,0.048000
1771215491955307076,1771215491955307076,1771215491955456076,0.000000,0.149000,0.149000
1771215492455069876,1771215492455069876,1771215492455127876,0.000000,0.058000,0.058000
1771215492955746890,1771215492955746890,1771215492955814890,0.000000,0.068000,0.068000
1771215493455175003,1771215493455175003,1771215493455349003,0.000000,0.174000,0.174000
1771215493955172698,1771215493955172698,1771215493955398698,0.000000,0.226000,0.226000
1771215494456214261,1771215494456214261,1771215494456304261,0.000000,0.090000,0.090000
1771215494955169485,1771215494955169485,1771215494955881485,0.000000,0.712000,0.712000
1771215495455379758,1771215495455379758,1771215495455462758,0.000000,0.083000,0.083000
1771215495955737939,1771215495955737939,1771215495955896939,0.000000,0.159000,0.159000
1771215496455743188,1771215496455743188,1771215496456058188,0.000000,0.315000,0.315000
1771215496955134686,1771215496955134686,1771215496955291686,0.000000,0.157000,0.157000
1771215498591712917,1771215498591712917,1771215498591952917,0.000000,0.240000,0.240000
1771215499091906035,1771215499091906035,1771215499091972035,0.000000,0.066000,0.066000
1771215499592287736,1771215499592287736,1771215499592347736,0.000000,0.060000,0.060000
1771215500091866354,1771215500091866354,1771215500091983354,0.000000,0.117000,0.117000
1771215500591784159,1771215500591784159,1771215500591844159,0.000000,0.060000,0.060000
1771215501091564207,1771215501091564207,1771215501091656207,0.000000,0.092000,0.092000
1771215501592023762,1771215501592023762,1771215501592068762,0.000000,0.045000,0.045000
1771215502091868667,1771215502091868667,1771215502091964667,0.000000,0.096000,0.096000
1771215502591968149,1771215502591968149,1771215502592068149,0.000000,0.100000,0.100000
1771215503093262724,1771215503093262724,1771215503093589724,0.000000,0.327000,0.327000
1771215503592786150,1771215503592786150,1771215503592881150,0.000000,0.095000,0.095000
1771215504091684088,1771215504091684088,1771215504091800088,0.000000,0.116000,0.116000
1771215504591500180,1771215504591500180,1771215504591823180,0.000000,0.323000,0.323000
1771215505091674932,1771215505091674932,1771215505091850932,0.000000,0.176000,0.176000
1771215505591974296,1771215505591974296,1771215505592011296,0.000000,0.037000,0.037000
1771215506092081497,1771215506092081497,1771215506092232497,0.000000,0.151000,0.151000
1771215506592024948,1771215506592024948,1771215506592165948,0.000000,0.141000,0.141000
1771215507092829400,1771215507092829400,1771215507092983400,0.000000,0.154000,0.154000
1771215507591959825,1771215507591959825,1771215507592167825,0.000000,0.208000,0.208000
1771215508095127310,1771215508095127310,1771215508095476310,0.000000,0.349000,0.349000
1771215508592028001,1771215508592028001,1771215508592192001,0.000000,0.164000,0.164000
1771215509091785513,1771215509091785513,1771215509091887513,0.000000,0.102000,0.102000
1771215509591624761,1771215509591624761,1771215509591679761,0.000000,0.055000,0.055000
1771215510092763098,1771215510092763098,1771215510092849098,0.000000,0.086000,0.086000
1771215510591534628,1771215510591534628,1771215510591620628,0.000000,0.086000,0.086000
1771215511092092275,1771215511092092275,1771215511092237275,0.000000,0.145000,0.145000
1771215511591936434,1771215511591936434,1771215511592101434,0.000000,0.165000,0.165000
1771215512092041145,1771215512092041145,1771215512092150145,0.000000,0.109000,0.109000
1771215512591598286,1771215512591598286,1771215512591662286,0.000000,0.064000,0.064000
1771215513092108908,1771215513092108908,1771215513092449908,0.000000,0.341000,0.341000
1771215513591876175,1771215513591876175,1771215513591999175,0.000000,0.123000,0.123000
1771215514091993695,1771215514091993695,1771215514092182695,0.000000,0.189000,0.189000
1771215514592693717,1771215514592693717,1771215514592831717,0.000000,0.138000,0.138000
1771215515091776309,1771215515091776309,1771215515091873309,0.000000,0.097000,0.097000
1771215515591875220,1771215515591875220,1771215515592036220,0.000000,0.161000,0.161000
1771215516092133160,1771215516092133160,1771215516092221160,0.000000,0.088000,0.088000
1771215516591551620,1771215516591551620,1771215516591650620,0.000000,0.099000,0.099000
1771215517091532281,1771215517091532281,1771215517091748281,0.000000,0.216000,0.216000
1771215517591930184,1771215517591930184,1771215517592045184,0.000000,0.115000,0.115000
1771215518091902594,1771215518091902594,1771215518092020594,0.000000,0.118000,0.118000
1771215518591967732,1771215518591967732,1771215518592034732,0.000000,0.067000,0.067000
1771215519092032243,1771215519092032243,1771215519092095243,0.000000,0.063000,0.063000
1771215519591875803,1771215519591875803,1771215519592010803,0.000000,0.135000,0.135000
1771215520091884224,1771215520091884224,1771215520092022224,0.000000,0.138000,0.138000
