id,trace_id,arrival_unix_ns,service_start_unix_ns,service_end_unix_ns,response_end_unix_ns,queue_ms,service_ms,response_ms,status_code,bytes_written
14607,919,1774346172634924605,1774346172634932312,1774346172636866696,1774346172636886924,0.008,1.934,1.962,200,3
14608,920,1774346172637219870,1774346172637224125,1774346172637791042,1774346172637801103,0.004,0.567,0.581,200,3
14609,921,1774346172652041373,1774346172652107567,1774346172654252908,1774346172654273779,0.066,2.145,2.232,200,3
14610,922,1774346172654674165,1774346172654677829,1774346172655827731,1774346172655843430,0.004,1.150,1.169,200,3
14611,923,1774346172658472306,1774346172658479643,1774346172663377033,1774346172663404936,0.007,4.897,4.933,200,3
14612,924,1774346172667634368,1774346172667651482,1774346172669365979,1774346172670244362,0.017,1.715,2.610,200,3
14613,925,1774346172671128346,1774346172671134649,1774346172672434338,1774346172672456509,0.006,1.300,1.328,200,3
14614,926,1774346172676519036,1774346172676556536,1774346172680435952,1774346172680661250,0.037,3.879,4.142,200,3
14615,927,1774346172684616066,1774346172684623604,1774346172685198059,1774346172685212269,0.008,0.574,0.596,200,3
14616,928,1774346172690781124,1774346172690789327,1774346172691945522,1774346172691969212,0.008,1.156,1.188,200,3
14617,929,1774346172692570990,1774346172692576627,1774346172695833146,1774346172695864744,0.006,3.257,3.294,200,3
14618,931,1774346172699406821,1774346172699413156,1774346172703018272,1774346172703055286,0.006,3.605,3.649,200,3
14619,930,1774346172705027132,1774346172705036486,1774346172709133441,1774346172709179038,0.009,4.097,4.152,200,3
14620,932,1774346172709827927,1774346172709883416,1774346172710963693,1774346172710981704,0.055,1.080,1.154,200,3
14621,935,1774346172712028958,1774346172712034046,1774346172713548841,1774346172713589054,0.005,1.515,1.560,200,3
14622,933,1774346172714000937,1774346172714005519,1774346172715633583,1774346172715653768,0.005,1.628,1.653,200,3
