server,rate_rps,workers,rho_obs,rho0,S0_ms,alpha,beta,fit_best_model,M0_mean_ms,M1_mean_ms,M2_mean_ms,ks_M0,ks_M1,ks_M2,delta_M1_minus_M2,best_ks_model,M2_beats_M1
Python DSP (1c),75,1,0.613,0.614,8.186,0.0,0.0,M0 constant,8.186,8.186,8.186,0.2984,0.2984,0.2984,0.0,M0,False
Python DSP (3c),100,3,0.389,0.323,9.702,4.419,0.324,M1 linear,9.702,11.131,10.838,0.2722,0.1419,0.1641,-0.0222,M1,False
Python DSP (3c),150,3,0.582,0.485,9.702,4.419,0.324,M1 linear,9.702,11.846,11.511,0.2762,0.1021,0.1228,-0.0207,M1,False
Python DSP (3c),200,3,0.794,0.647,9.702,4.419,0.324,M1 linear,9.702,12.56,12.274,0.2943,0.1405,0.1153,0.0252,M2,True
Python DSP (3c),25,3,0.078,0.081,9.702,4.419,0.324,M1 linear,9.702,10.059,9.963,0.6281,0.6141,0.6184,-0.0043,M1,False
Python DSP (3c),50,3,0.171,0.162,9.702,4.419,0.324,M1 linear,9.702,10.417,10.238,0.3215,0.2985,0.3043,-0.0058,M1,False
Node DSP (3c),1600,3,0.61,0.57,1.068,0.036,0.031,M0 constant,1.068,1.089,1.087,0.6744,0.6737,0.6738,-0.0,M1,False
Node DSP (3c),200,3,0.071,0.071,1.068,0.036,0.031,M0 constant,1.068,1.071,1.07,0.775,0.7749,0.7749,0.0,M1,False
Node DSP (3c),2400,3,0.843,0.854,1.068,0.036,0.031,M0 constant,1.068,1.099,1.097,0.7384,0.7375,0.7376,-0.0001,M1,False
Node DSP (3c),400,3,0.134,0.142,1.068,0.036,0.031,M0 constant,1.068,1.073,1.073,0.77,0.7697,0.7698,-0.0,M1,False
Node DSP (3c),800,3,0.301,0.285,1.068,0.036,0.031,M0 constant,1.068,1.078,1.078,0.7062,0.7059,0.7059,-0.0,M1,False
Java DSP (3c),100,3,0.016,0.01,0.303,0.0,0.0,M0 constant,0.303,0.303,0.303,0.7937,0.7937,0.7937,0.0,M0,False
Java DSP (3c),200,3,0.017,0.02,0.303,0.0,0.0,M0 constant,0.303,0.303,0.303,0.7788,0.7788,0.7788,0.0,M0,False
Java DSP (3c),400,3,0.04,0.04,0.303,0.0,0.0,M0 constant,0.303,0.303,0.303,0.78,0.78,0.78,0.0,M0,False
Java DSP (3c),600,3,0.047,0.061,0.303,0.0,0.0,M0 constant,0.303,0.303,0.303,0.7797,0.7797,0.7797,0.0,M0,False
Java DSP (3c),800,3,0.069,0.081,0.303,0.0,0.0,M0 constant,0.303,0.303,0.303,0.7802,0.7802,0.7802,0.0,M0,False
Go SQLite (3c),100,3,0.171,0.166,4.991,2.088,0.318,M2 hyperbolic,4.991,5.338,5.27,0.5766,0.5669,0.5689,-0.002,M1,False
Go SQLite (3c),200,3,0.372,0.333,4.991,2.088,0.318,M2 hyperbolic,4.991,5.686,5.582,0.4025,0.3829,0.3857,-0.0028,M1,False
Go SQLite (3c),400,3,0.845,0.665,4.991,2.088,0.318,M2 hyperbolic,4.991,6.38,6.331,0.2878,0.2479,0.2491,-0.0011,M1,False
Go SQLite (3c),50,3,0.087,0.083,4.991,2.088,0.318,M2 hyperbolic,4.991,5.165,5.127,0.7538,0.751,0.7515,-0.0005,M1,False
