id,trace_id,arrival_unix_ns,service_start_unix_ns,service_end_unix_ns,response_end_unix_ns,queue_ms,service_ms,response_ms,status_code,bytes_written
5795,1119,1774346081165851972,1774346081165861006,1774346081167426306,1774346081167453854,0.009,1.565,1.602,200,3
5796,1121,1774346081178799443,1774346081178806407,1774346081180539690,1774346081180557886,0.007,1.733,1.758,200,3
5797,1122,1774346081186131337,1774346081186140150,1774346081186920143,1774346081186933246,0.009,0.780,0.802,200,3
5798,1124,1774346081219088113,1774346081219096292,1774346081220084665,1774346081220104003,0.008,0.988,1.016,200,3
5799,1123,1774346081229283384,1774346081229292799,1774346081230609732,1774346081230638823,0.010,1.317,1.356,200,3
5800,1125,1774346081282914296,1774346081282924441,1774346081284293828,1774346081284308273,0.010,1.369,1.394,200,3
5801,1126,1774346081287292118,1774346081287300826,1774346081288498278,1774346081288523522,0.009,1.197,1.232,200,3
5802,1127,1774346081293054022,1774346081293063015,1774346081294058975,1774346081294077478,0.009,0.996,1.023,200,3
5803,1128,1774346081294957883,1774346081294965407,1774346081296179365,1774346081296207547,0.008,1.214,1.250,200,3
5804,1129,1774346081336189915,1774346081336197998,1774346081338838310,1774346081338872516,0.008,2.640,2.683,200,3
5805,1130,1774346081344557522,1774346081344575634,1774346081345000660,1774346081345021984,0.018,0.425,0.465,200,3
5806,1131,1774346081361957772,1774346081361966934,1774346081362534878,1774346081362587449,0.009,0.568,0.630,200,3
5807,1132,1774346081393613644,1774346081393621633,1774346081394492871,1774346081394510465,0.008,0.871,0.897,200,3
5808,1133,1774346081401321548,1774346081401329495,1774346081403215323,1774346081403253448,0.008,1.886,1.932,200,3
5809,1134,1774346081411590476,1774346081411598644,1774346081412618676,1774346081412642801,0.008,1.020,1.052,200,3
5810,1135,1774346081421597205,1774346081421605035,1774346081423698166,1774346081423729613,0.008,2.093,2.132,200,3
5811,1137,1774346081446166949,1774346081446176829,1774346081448075887,1774346081448110780,0.010,1.899,1.944,200,3
5812,1138,1774346081456954890,1774346081456963629,1774346081458214180,1774346081458228213,0.009,1.251,1.273,200,3
5813,1136,1774346081459395126,1774346081459402492,1774346081462589328,1774346081462620627,0.007,3.187,3.226,200,3
5814,1139,1774346081464002209,1774346081464009236,1774346081466561330,1774346081466598589,0.007,2.552,2.596,200,3
5815,1140,1774346081468480672,1774346081468487318,1774346081470289947,1774346081470314695,0.007,1.803,1.834,200,3
5816,1141,1774346081471761079,1774346081471767377,1774346081472910346,1774346081472930930,0.006,1.143,1.170,200,3
5817,1142,1774346081527305864,1774346081527314878,1774346081528348721,1774346081528374230,0.009,1.034,1.068,200,3
5818,1143,1774346081536384985,1774346081536393217,1774346081537196245,1774346081537215466,0.008,0.803,0.830,200,3
5819,1144,1774346081541220463,1774346081541227850,1774346081542916540,1774346081542945705,0.007,1.689,1.725,200,3
5820,1145,1774346081553371065,1774346081553379180,1774346081554585265,1774346081554613278,0.008,1.206,1.242,200,3
5821,1146,1774346081565378020,1774346081565391800,1774346081566809637,1774346081566866350,0.014,1.418,1.488,200,3
5822,1147,1774346081569246475,1774346081569258627,1774346081570098355,1774346081570118083,0.012,0.840,0.872,200,3
5823,1148,1774346081592369345,1774346081592410789,1774346081593804513,1774346081593812396,0.041,1.394,1.443,200,3
